Course	Platform	Start date	End date	Number enrolled	Number completed	% completed	Assessment type	Data source
ABC de la Gestion de Projet	Canvas.net	2013		10848	6501	60	Auto and peer grading	https://docs.google.com/spreadsheets/d/1Ljb659QSMD9ljfnFPbWsKYNGhOBM6yKSv8s-hVzltBc/edit#gid=1
ABC de la Gestion de Projet	Canvas.net	Unknown		3493	1821	52.1	Auto and peer grading	https://docs.google.com/spreadsheet/ccc?key=0AiIQsNq53QmIdFduUk9RUFVZNDZ5SHFGSTRFUUpNLWc&hl=fr&forcehl=1#gid=1
Early Childhood Education	Open2Study	2013		1494	622	41.6	Auto grading only	https://www.open2study.com/research/download/575
Understanding Dementia	Desire2Learn	2013		9267	3624	39.1	Auto grading only	http://www.utas.edu.au/wicking/wca/mooc/data/
HLS1X: CopyrightX	EdX	2013		500	193	38.6	Unknown	http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2382332
Equine Nutrition	Coursera	2013		23322	8416	36.1	Auto grading only	http://www.era.lib.ed.ac.uk/bitstream/1842/6683/1/Edinburgh%20MOOCs%20Report%202013%20%231.pdf
Introduction to Business in Asia	Open2Study	2013		682	244	35.8	Auto grading only	https://www.open2study.com/research/download/417
Financial Planning	Open2Study	2013		440	155	35.2	Auto grading only	https://www.open2study.com/research/download/417
Introduction to Nursing in Healthcare	Open2Study	2013		252	87	34.5	Auto grading only	https://www.open2study.com/research/download/575
Teaching Adult Learners	Open2Study	2013		385	132	34.3	Auto grading only	https://www.open2study.com/research/download/417
Astronomy - Discovering the Universe	Open2Study	2013		1574	534	33.9	Auto grading only	https://www.open2study.com/research/download/417
Understanding the Origins of Crime	Open2Study	2013		1180	397	33.6	Auto grading only	https://www.open2study.com/research/download/575
Teaching Adult Learners	Open2Study	2013		551	183	33.2	Auto grading only	https://www.open2study.com/research/download/575
Teaching Adult Learners	Open2Study	2013		756	250	33.1	Auto grading only	https://www.open2study.com/research/download/417
Becoming Human - Anthropology	Open2Study	2013		574	187	32.6	Auto grading only	https://www.open2study.com/research/download/575
Sicherheit im Internet	OpenHPI	2014		11284	3631	32.2	Unknown	https://blog.openhpi.de/2015/03/a-look-ahead-and-back/
Financial Literacy	Open2Study	2013		1168	376	32.2	Auto grading only	https://www.open2study.com/research/download/417
Strategic Management	Open2Study	2013		589	189	32.1	Auto grading only	https://www.open2study.com/research/download/417
Financial Literacy	Open2Study	2013		733	226	30.8	Auto grading only	https://www.open2study.com/research/download/575
Foundations of Psychology	Open2Study	2013		1026	314	30.6	Auto grading only	https://www.open2study.com/research/download/575
Education in a Changing World	Open2Study	2013		599	178	29.7	Auto grading only	https://www.open2study.com/research/download/417
Becoming Human - Anthropology	Open2Study	2013		433	127	29.3	Auto grading only	https://www.open2study.com/research/download/417
Sports and Recreation Management	Open2Study	2013		192	56	29.2	Auto grading only	https://www.open2study.com/research/download/417
Management for a Competitive Edge	Open2Study	2013		391	112	28.6	Auto grading only	https://www.open2study.com/research/download/417
Strategic Management	Open2Study	2013		972	276	28.4	Auto grading only	https://www.open2study.com/research/download/575
H817Open - an open course in open education	Independent	2013		1710	485	28.3	Unknown	http://nogoodreason.typepad.co.uk/no_good_reason/h817open/
AbiertaUGR	Independent	Unknown		3051	843	27.6	Unknown	http://moocmoocher.wordpress.com/2013/02/13/synthesising-mooc-completion-rates/comment-page-2/#comment-1101
Spielend Programmieren Lernen	OpenHPI	2014		9195	2516	27.4	Unknown	https://blog.openhpi.de/2015/03/a-look-ahead-and-back/
Food, Nutrition and Your Health	Open2Study	2013		1149	312	27.2	Auto grading only	https://www.open2study.com/research/download/575
Strategic Management	Open2Study	2013		932	253	27.1	Auto grading only	https://www.open2study.com/research/download/417
Financial Planning	Open2Study	2013		599	160	26.7	Auto grading only	https://www.open2study.com/research/download/575
Introduction to Nursing in Healthcare	Open2Study	2013		225	60	26.7	Auto grading only	https://www.open2study.com/research/download/417
Becoming Human - Anthropology	Open2Study	2013		707	188	26.6	Auto grading only	https://www.open2study.com/research/download/417
Introduction to Nursing in Healthcare	Open2Study	2013		415	110	26.5	Auto grading only	https://www.open2study.com/research/download/417
Education in a Changing World	Open2Study	2013		351	93	26.5	Auto grading only	https://www.open2study.com/research/download/575
M102 - MongoDB for DBAs	10gen	2013		6440	1701	26.4	Auto grading only	http://ed-blog.mongodb.com/post/45633265124/m101p-and-m102-completion-stats-spring-2013
Food, Nutrition and Your Health	Open2Study	2013		1839	485	26.4	Auto grading only	https://www.open2study.com/research/download/417
Writing for the Web	Open2Study	2013		1065	281	26.4	Auto grading only	https://www.open2study.com/research/download/417
Becoming Human - Anthropology	Open2Study	2013		867	227	26.2	Auto grading only	https://www.open2study.com/research/download/417
Astronomy - Discovering the Universe	Open2Study	2013		776	202	26	Auto grading only	https://www.open2study.com/research/download/575
Food, Nutrition and Your Health	Open2Study	2013		732	189	25.8	Auto grading only	https://www.open2study.com/research/download/417
Foundations of Psychology	Open2Study	2013		1364	352	25.8	Auto grading only	https://www.open2study.com/research/download/417
Foundations of Psychology	Open2Study	2013		634	163	25.7	Auto grading only	https://www.open2study.com/research/download/417
Financial Literacy	Open2Study	2013		536	138	25.7	Auto grading only	https://www.open2study.com/research/download/417
Financial Planning	Open2Study	2013		1678	429	25.6	Auto grading only	https://www.open2study.com/research/download/417
Writing for the Web	Open2Study	2013		1049	269	25.6	Auto grading only	https://www.open2study.com/research/download/575
Introduction to Business in Asia	Open2Study	2013		454	115	25.3	Auto grading only	https://www.open2study.com/research/download/575
Sichere E-Mail	OpenHPI	2015		5846	1462	25	Unknown	https://blog.openhpi.de/2015/03/a-look-ahead-and-back/
Management for a Competitive Edge	Open2Study	2013		769	192	25	Auto grading only	https://www.open2study.com/research/download/417
ABC de la Gestion de Projet	Canvas.net	Unknown		11827	2927	24.7	Auto and peer grading	http://fr.slideshare.net/bachelet/mooc-gd-p-69-barcamp-emoocs2015
Food, Nutrition and Your Health	Open2Study	2013		1027	253	24.6	Auto grading only	https://www.open2study.com/research/download/417
Financial Planning	Open2Study	2013		568	139	24.5	Auto grading only	https://www.open2study.com/research/download/417
Principles of Project Management	Open2Study	2013		1509	370	24.5	Auto grading only	https://www.open2study.com/research/download/575
Sports and Recreation Management	Open2Study	2013		168	41	24.4	Auto grading only	https://www.open2study.com/research/download/575
Writing for the Web	Open2Study	2013		792	193	24.4	Auto grading only	https://www.open2study.com/research/download/417
Principles of Project Management	Open2Study	2013		954	229	24	Auto grading only	https://www.open2study.com/research/download/417
Diagnosing the Financial Health of a Business	Open2Study	2013		914	218	23.9	Auto grading only	https://www.open2study.com/research/download/417
Becoming a Confident Trainer	Open2Study	2013		1172	278	23.7	Auto grading only	https://www.open2study.com/research/download/575
Web-Technologien	OpenHPI	2013		7350	1726	23.5	Auto grading only	https://blog.openhpi.de/2013/08/statistiken-zur-abschlussrate/
Writing for the Web	Open2Study	2013		1526	358	23.5	Auto grading only	https://www.open2study.com/research/download/417
Introduction to Nursing in Healthcare	Open2Study	2013		515	120	23.3	Auto grading only	https://www.open2study.com/research/download/417
Introduction to software development	OpenSAP	2013		40386	9383	23.2	Auto grading only	https://open.sap.com/blog/hana1-key-metrics/
Principles of Project Management	Open2Study	2013		2293	528	23	Auto grading only	https://www.open2study.com/research/download/417
Strategic Management	Open2Study	2013		1395	321	23	Auto grading only	https://www.open2study.com/research/download/417
Introduction to Enterprise Architecture	Open2Study	2013		2049	467	22.8	Auto grading only	https://www.open2study.com/research/download/417
Diagnosing the Financial Health of a Business	Open2Study	2013		646	147	22.8	Auto grading only	https://www.open2study.com/research/download/575
Good Brain, Bad Brain: Basics	Futurelearn	Unknown		11417	2577	22.6	Auto grading only	http://www.timeshighereducation.co.uk/news/futurelearn-delighted-at-response-to-first-moocs/2014010.article
Principles of Project Management	Open2Study	2013		1568	351	22.4	Auto grading only	https://www.open2study.com/research/download/417
Sports and Recreation Management	Open2Study	2013		95	21	22.1	Auto grading only	https://www.open2study.com/research/download/417
Big Data for Better Performance	Open2Study	2013		761	165	21.7	Auto grading only	https://www.open2study.com/research/download/575
Datenmanagement mit SQL	OpenHPI	2013		7611	1641	21.6	Auto grading only	https://blog.openhpi.de/2013/08/statistiken-zur-abschlussrate/
Introduction to Enterprise Architecture	Open2Study	2013		1191	257	21.6	Auto grading only	https://www.open2study.com/research/download/575
ABC de la Gestion de Projet	Canvas.net	Unknown		19171	4092	21.3	Auto and peer grading	http://fr.slideshare.net/bachelet/mooc-gd-p-69-barcamp-emoocs2015
First Year Teaching (Elementary Grades) - Success from the Start	Coursera	2013		16000	4185	21.2	Peer grading only	https://www.edsurge.com/n/2013-10-14-coursera-teaches-teachers-anywhere-anytime
M101P - MongoDB for Developers	10gen	2013		6627	1405	21.2	Auto grading only	http://ed-blog.mongodb.com/post/45633265124/m101p-and-m102-completion-stats-spring-2013
M102 - MongoDB for DBAs	10gen	2013		6557	1377	21	Auto grading only	http://ed-blog.mongodb.com/post/53762857755/completion-stats-for-m102-mongodb-for-dbas-april-june
Online Advertising	Open2Study	2013		1342	279	20.8	Auto grading only	https://www.open2study.com/research/download/575
User Experience for the Web	Open2Study	2013		1502	313	20.8	Auto grading only	https://www.open2study.com/research/download/417
Big Data for Better Performance	Open2Study	2013		1083	224	20.7	Auto grading only	https://www.open2study.com/research/download/417
User Experience for the Web	Open2Study	2013		638	132	20.7	Auto grading only	https://www.open2study.com/research/download/417
Sports and Recreation Management	Open2Study	2013		253	52	20.6	Auto grading only	https://www.open2study.com/research/download/417
Big Data for Better Performance	Open2Study	2013		573	117	20.4	Auto grading only	https://www.open2study.com/research/download/417
User Experience for the Web	Open2Study	2013		934	189	20.2	Auto grading only	https://www.open2study.com/research/download/417
Good Brain, Bad Brain: Parkinson’s Disease	Futurelearn	2014		5888	1166	19.8	Auto grading only	http://www.timeshighereducation.co.uk/news/futurelearn-delighted-at-response-to-first-moocs/2014010.article
Management for a Competitive Edge	Open2Study	2013		1305	259	19.8	Auto grading only	https://www.open2study.com/research/download/417
Astrobiology	Coursera	2013		39556	7707	19.5	Auto grading only	http://www.era.lib.ed.ac.uk/bitstream/1842/6683/1/Edinburgh%20MOOCs%20Report%202013%20%231.pdf
Functional Programming Principles in Scala	Coursera	2012		50000	9593	19.2	Auto grading only	http://docs.scala-lang.org/news/functional-programming-principles-in-scala-impressions-and-statistics.html
M102 - MongoDB for DBAs	10gen	2012		10105	1903	19	Auto grading only	http://ed-blog.mongodb.com/post/39477999927/m102-completion-stats
